title,link,address,deadline,salary
"World Language Teacher, Spanish - American Lakes School",https://www.edjoin.org/Home/JobPosting/2077828,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56, 265 - $121,338  Annually"
(SIGN ON BONUS) Special Education Teacher - Long Beach,https://www.edjoin.org/Home/JobPosting/2077845,"Assurance Learning Academy - , Los Angeles County, CA",Until Filled,"$79,500 - $100,700  Annually"
Teacher Librarian- 0.7 FTE - Garfield Elementary (2025-26),https://www.edjoin.org/Home/JobPosting/2077862,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"52,905.14 - 98,980.20  Annually"
Math Teacher- Aspire Public Schools (Modesto),https://www.edjoin.org/Home/JobPosting/1251595,"Aspire Public Schools - Stanislaus County - Modesto, Stanislaus County, CA",Until Filled,Pay dependent on experience
Tech Art Teacher,https://www.edjoin.org/Home/JobPosting/2052472,"Aspire Public Schools - Sacramento County - Sacramento, Sacramento County, CA",Until Filled,"$68,640 - $114,245  Annually"
"Art Teacher - Aspire Public School, Modesto",https://www.edjoin.org/Home/JobPosting/2023483,"Aspire Public Schools - Stanislaus County - Modesto, Stanislaus County, CA",Until Filled,"$66,560 - $114,245  Annually"
Mathematics Teacher,https://www.edjoin.org/Home/JobPosting/2078026,"Rim Of The World Unified - Crestline, San Bernardino County, CA",5/9/2025 11:55 am,"$51,996 (intern) - $124,401  Annually"
Elementary English Teacher,https://www.edjoin.org/Home/JobPosting/1918195,"Yu Ming Charter School - Oakland, Alameda County, CA",Until Filled,62150 - 97320  Annually
Summer School - Teacher in Charge,https://www.edjoin.org/Home/JobPosting/2077953,"Columbia Elementary School District - Redding, Shasta County, CA",5/9/2025 09:00 pm,$425  Daily
Summer School - Teacher,https://www.edjoin.org/Home/JobPosting/2077964,"Columbia Elementary School District - Redding, Shasta County, CA",5/9/2025 08:00 pm,$80.00  Per Hour
